CUSIP NO,ASTRK,ISSUER NAME,ISSUER DESCRIPTION,STATUS
G0131Y 12 6,,AGRICULTURE & NAT SOL ACQ CO,UNIT 99/99/9999,ADDED
G0132V 10 5,,AGM GROUP HOLDINGS INC,SHS CL A,
G01341 11 7,,AIMEI HEALTH TECHNOLOGY CO L,UNIT 11/17/2028,ADDED
G0135E 10 0,,AIMFINITY INVESTMENT CORP I,UNIT 02/01/2029,
G0135E 12 6,,AIMFINITY INVESTMENT CORP I,*W EXP 04/21/202,
G0135E 14 2,,AIMFINITY INVESTMENT CORP I,UNIT 04/21/2027,
G0136H 10 2,,AERIES TECHNOLOGY INC,CL A ORD SHS,ADDED
G0136H 11 0,,AERIES TECHNOLOGY INC,*W EXP 11/06/202,ADDED
G01490 13 8,,AI TRANSN ACQUISITION CORP,UNIT 99/99/9999,ADDED
G0176J 10 9,*,ALLEGION PLC,ORD SHS,
G0176J 90 9,,ALLEGION PLC,CALL,
G0176J 95 9,,ALLEGION PLC,PUT,
G01767 10 5,*,ALKERMES PLC,SHS,
G01767 90 5,,ALKERMES PLC,CALL,
G01767 95 5,,ALKERMES PLC,PUT,
G0223V 10 5,,ALPHATIME ACQUISITION CORP,ORDINARY SHARES,
G0223V 11 3,,ALPHATIME ACQUISITION CORP,UNIT 03/01/2028,
G0223V 12 1,,ALPHATIME ACQUISITION CORP,*W EXP 03/01/202,
G0223V 13 9,,ALPHATIME ACQUISITION CORP,RIGHT 03/01/2028,
G0230C 10 8,,ALPHA STAR ACQUISITION CORP,ORDINARY SHARES,
G0230C 11 6,,ALPHA STAR ACQUISITION CORP,*W EXP 12/13/202,
G0230C 12 4,,ALPHA STAR ACQUISITION CORP,UNIT 12/13/2026,
G0230C 13 2,,ALPHA STAR ACQUISITION CORP,RIGHT 05/30/2023,
G0231L 10 7,,ALSP ORCHID ACQUISITION CORP,CLASS A ORD,DELETED
G0231L 11 5,,ALSP ORCHID ACQUISITION CORP,UNIT 11/30/2028,DELETED
G0231L 12 3,,ALSP ORCHID ACQUISITION CORP,*W EXP 11/30/202,DELETED
G0232F 10 9,,ALCHEMY INVTS ACQUISITN CORP,SHS CL A,
G0232F 11 7,,ALCHEMY INVTS ACQUISITN CORP,UNIT 11/30/2027,
G0232F 13 3,,ALCHEMY INVTS ACQUISITN CORP,*W EXP 11/30/202,
G0232G 10 7,,ALPHA TECHNOLOGY GROUP LIMIT,SHS,ADDED
G0250X 10 7,*,AMCOR PLC,ORD,
G0250X 90 7,,AMCOR PLC,CALL,
G0250X 95 7,,AMCOR PLC,PUT,
G02532 10 2,,AMBIPAR EMERGENCY RESPONSE,CL A ORD SHS,
G02532 11 0,,AMBIPAR EMERGENCY RESPONSE,*W EXP 99/99/999,
G02602 10 3,*,AMDOCS LTD,SHS,
G02602 90 3,,AMDOCS LTD,CALL,
G02602 95 3,,AMDOCS LTD,PUT,
G0283A 10 8,,ALPHAVEST ACQUISITION CORP,ORDINARY SHARES,
G0283A 11 6,,ALPHAVEST ACQUISITION CORP,RIGHT 06/19/2024,
G0283A 12 4,,ALPHAVEST ACQUISITION CORP,UNIT 06/19/2024,
G0360L 13 4,,ALTAMIRA THERAPEUTICS LTD,SHS,ADDED
G0360L 20 9,,ALTAMIRA THERAPEUTICS LTD,SHS NEW,DELETED
G0369L 10 1,,ANGHAMI INC,ORD SHS,
G0369L 11 9,,ANGHAMI INC,*W EXP 02/03/202,
G037AX 10 1,*,AMBARELLA INC,SHS,
G037AX 90 1,,AMBARELLA INC,CALL,
G037AX 95 1,,AMBARELLA INC,PUT,
G0378L 10 0,*,ANGLOGOLD ASHANTI PLC,COM SHS,
G0378L 90 0,,ANGLOGOLD ASHANTI PLC,CALL,
G0378L 95 0,,ANGLOGOLD ASHANTI PLC,PUT,
G0403H 10 8,*,AON PLC,SHS CL A,
G0403H 90 8,,AON PLC,CALL,
G0403H 95 8,,AON PLC,PUT,
G04058 10 6,,AP ACQUISITION CORP,CL A ORD SHS,
G04058 11 4,,AP ACQUISITION CORP,*W EXP 12/07/202,
G04058 12 2,,AP ACQUISITION CORP,UNIT 99/99/9999,
G041JN 12 2,,ANTELOPE ENTERPRISE HLDGS LT,SHS NEW,
G0411D 10 7,,APOLLOMICS INC,CL A SHS,
G0411D 11 5,,APOLLOMICS INC,*W EXP 04/01/202,
G0412A 10 2,,APOLLO STRATEGIC GRWT CPTL I,SHS CL A,DELETED
G0412A 11 0,,APOLLO STRATEGIC GRWT CPTL I,UNIT 99/99/9999,DELETED
G0412A 12 8,,APOLLO STRATEGIC GRWT CPTL I,*W EXP 02/12/202,DELETED
G0450A 10 5,*,ARCH CAP GROUP LTD,ORD,
G0450A 90 5,,ARCH CAP GROUP LTD,CALL,
G0450A 95 5,,ARCH CAP GROUP LTD,PUT,
G04553 10 6,*,ARCO PLATFORM LTD,COM CL A,DELETED
G04553 90 6,,ARCO PLATFORM LTD,CALL,DELETED
G04553 95 6,,ARCO PLATFORM LTD,PUT,DELETED
G0457F 10 7,*,ARCOS DORADOS HOLDINGS INC,SHS CLASS -A -,
G0457F 90 7,,ARCOS DORADOS HOLDINGS INC,CALL,
G0457F 95 7,,ARCOS DORADOS HOLDINGS INC,PUT,
G0464B 10 7,*,ARGO GROUP INTL HLDGS LTD,COM,DELETED
G0464B 90 7,,ARGO GROUP INTL HLDGS LTD,CALL,DELETED
G0464B 95 7,,ARGO GROUP INTL HLDGS LTD,PUT,DELETED
G0535E 10 6,,ASIA PACIFIC WIRE & CABLE CO,ORD,
G0542S 10 6,,A SPAC I ACQUISITION CORP,CLASS A ORD SHS,
G0542S 11 4,,A SPAC I ACQUISITION CORP,RIGHT 12/09/2026,
G0542S 12 2,,A SPAC I ACQUISITION CORP,UNIT 12/09/2026,
G0542S 13 0,,A SPAC I ACQUISITION CORP,*W EXP 05/21/202,
G0543H 10 9,,A SPAC II ACQUISITION CORP,ORD SHS CL A,
G0543H 11 7,,A SPAC II ACQUISITION CORP,*W EXP 10/15/202,
G0543H 12 5,,A SPAC II ACQUISITION CORP,UNIT 10/15/2026,
G0543H 13 3,,A SPAC II ACQUISITION CORP,RIGHT 10/15/2026,
G0567U 10 1,*,ARQIT QUANTUM INC,ORDINARY SHARES,
G0567U 90 1,,ARQIT QUANTUM INC,CALL,
G0567U 95 1,,ARQIT QUANTUM INC,PUT,
G0567U 11 9,,ARQIT QUANTUM INC,*W EXP 09/03/202,
G0585R 10 6,*,ASSURED GUARANTY LTD,COM,
G0585R 90 6,,ASSURED GUARANTY LTD,CALL,
G0585R 95 6,,ASSURED GUARANTY LTD,PUT,
G0602B 20 9,,ATIF HOLDINGS LIMITED,ORD SHS NEW,
G06362 10 0,,AURA FAT PROJS ACQUISITION C,CLASS A ORD,
G06362 11 8,,AURA FAT PROJS ACQUISITION C,UNIT 03/31/2027,
G06362 12 6,,AURA FAT PROJS ACQUISITION C,*W EXP 03/31/202,
G0692U 10 9,*,AXIS CAP HLDGS LTD,SHS,
G1144D 12 5,,BIT BROTHER LIMITED,SHS NEW CL A ORD,
G11448 10 0,,BITDEER TECHNOLOGIES GROUP,CL A ORD SHS,
G1149B 10 8,,ABLE VIEW GLOBAL INC,CL B ORD SHS,
G1149B 11 6,,ABLE VIEW GLOBAL INC,*W EXP 08/18/202,
G1151C 10 1,*,ACCENTURE PLC IRELAND,SHS CLASS A,
G1151C 90 1,,ACCENTURE PLC IRELAND,CALL,
G1151C 95 1,,ACCENTURE PLC IRELAND,PUT,
G11728 10 5,,BLEUACACIA LTD,CLASS A ORD SHS,
G11728 11 3,,BLEUACACIA LTD,*W EXP 10/30/202,
G11728 12 1,,BLEUACACIA LTD,UNIT 10/30/2026,
G11728 13 9,,BLEUACACIA LTD,RIGHT 10/30/2026,
G11765 10 7,,BLOCKCHAIN COINVSTRS ACQ CRP,CLASS A ORD,
G11765 11 5,,BLOCKCHAIN COINVSTRS ACQ CRP,*W EXP 11/01/202,
G11765 12 3,,BLOCKCHAIN COINVSTRS ACQ CRP,UNIT 09/01/2026,
G1195N 10 5,,BLUESCAPE OPPORTUNITIES ACQU,SHS,DELETED
G1195N 11 3,,BLUESCAPE OPPORTUNITIES ACQU,*W EXP 10/28/202,DELETED
G1195N 12 1,,BLUESCAPE OPPORTUNITIES ACQU,UNIT 99/99/9999,DELETED
G1261Q 10 7,,BLUERIVER ACQUISITION CORP,CL A ORD SHS,
G1261Q 11 5,,BLUERIVER ACQUISITION CORP,*W EXP 01/04/202,
G1261Q 12 3,,BLUERIVER ACQUISITION CORP,UNIT 01/04/2026,
G1263E 10 2,,BLUE WORLD ACQUISITION CORP,CLASS A ORD SHS,
G1263E 11 0,,BLUE WORLD ACQUISITION CORP,RIGHT 08/29/2029,
G1263E 12 8,,BLUE WORLD ACQUISITION CORP,UNIT 01/10/2029,
G1263E 13 6,,BLUE WORLD ACQUISITION CORP,*W EXP 01/10/202,
G12729 10 2,,BOWEN ACQUISITION CORP,UNIT 99/99/9999,
G12729 11 0,,BOWEN ACQUISITION CORP,SHS,
G12729 12 8,,BOWEN ACQUISITION CORP,RIGHT 99/99/9999,
G1329V 20 5,,BLUE HAT INTERACTIVE ENTMT T,SHS,
G1330L 10 5,,BLUE OCEAN ACQUISITION CORP,CLASS A ORD SHS,
G1330L 11 3,,BLUE OCEAN ACQUISITION CORP,UNIT 12/02/2026,
G1330L 12 1,,BLUE OCEAN ACQUISITION CORP,*W EXP 12/02/202,
G1355U 10 5,,BRIDGETOWN HOLDINGS LTD,UNIT 10/15/2025,DELETED
G1355U 11 3,*,BRIDGETOWN HOLDINGS LTD,COM CL A,DELETED
G1355U 90 3,,BRIDGETOWN HOLDINGS LTD,CALL,DELETED
G1355U 95 3,,BRIDGETOWN HOLDINGS LTD,PUT,DELETED
G1355U 12 1,,BRIDGETOWN HOLDINGS LTD,*W EXP 09/30/202,DELETED
G14492 10 5,,BON NATURAL LIFE LIMITED,ORD SHS,
G1466B 20 2,,BORQS TECHNOLOGIES INC,SHS NEW,DELETED
G1466R 17 3,*,BORR DRILLING LTD,SHS,
G1466R 90 3,,BORR DRILLING LTD,CALL,
G1466R 95 3,,BORR DRILLING LTD,PUT,
G1611B 10 7,,BROOGE ENERGY LTD,SHS,
G1611B 11 5,,BROOGE ENERGY LTD,*W EXP 12/20/202,
G16234 10 9,*,BROOKFIELD BUSINESS PARTNERS,UNIT LTD L P,
G16234 90 9,,BROOKFIELD BUSINESS PARTNERS,CALL,
G16234 95 9,,BROOKFIELD BUSINESS PARTNERS,PUT,
G16250 10 5,*,BROOKFIELD REINS LTD,CL A EXCH LT VTG,
G16250 90 5,,BROOKFIELD REINS LTD,CALL,
G16250 95 5,,BROOKFIELD REINS LTD,PUT,
G16250 20 4,,BROOKFIELD REINS LTD,CL A-1 EXCH NONV,ADDED
G16252 10 1,*,BROOKFIELD INFRAST PARTNERS,LP INT UNIT,
G16252 90 1,,BROOKFIELD INFRAST PARTNERS,CALL,
G16252 95 1,,BROOKFIELD INFRAST PARTNERS,PUT,
G16258 10 8,*,BROOKFIELD RENEWABLE PARTNER,PARTNERSHIP UNIT,
G16258 90 8,,BROOKFIELD RENEWABLE PARTNER,CALL,
G16258 95 8,,BROOKFIELD RENEWABLE PARTNER,PUT,
G1643W 10 3,,BRILLIANT ACQUISITION CORP,UNIT 12/31/2020,DELETED
G1643W 11 1,,BRILLIANT ACQUISITION CORP,SHS,DELETED
G1643W 12 9,,BRILLIANT ACQUISITION CORP,*W EXP 03/30/202,DELETED
G1643W 13 7,,BRILLIANT ACQUISITION CORP,RIGHT 99/99/9999,DELETED
G1676M 10 5,,BUKIT JALIL GBL ACQUISITION,ORD SHS,
G1676M 11 3,,BUKIT JALIL GBL ACQUISITION,*W EXP 05/02/202,
G1676M 12 1,,BUKIT JALIL GBL ACQUISITION,RIGHT 05/02/2024,
G1676M 13 9,,BUKIT JALIL GBL ACQUISITION,UNIT 05/02/2029,
G16962 10 5,*,BUNGE LIMITED,COM,DELETED
G16962 90 5,,BUNGE LIMITED,CALL,DELETED
G16962 95 5,,BUNGE LIMITED,PUT,DELETED
G1745A 10 8,,CACTUS ACQUISITION CORP 1 LT,CLASS A ORD,
G1745A 11 6,,CACTUS ACQUISITION CORP 1 LT,UNIT 08/17/2028,
G1745A 12 4,,CACTUS ACQUISITION CORP 1 LT,*W EXP 08/17/202,
G1757E 11 3,*,CALEDONIA MNG CORP PLC,SHS NEW,
G1757E 90 3,,CALEDONIA MNG CORP PLC,CALL,
G1757E 95 3,,CALEDONIA MNG CORP PLC,PUT,
G17766 10 9,*,CAMBIUM NETWORKS CORP,SHS,
G17766 90 9,,CAMBIUM NETWORKS CORP,CALL,
G17766 95 9,,CAMBIUM NETWORKS CORP,PUT,
G17977 11 0,*,BURFORD CAP LTD,ORD SHS,
G17977 90 0,,BURFORD CAP LTD,CALL,
G17977 95 0,,BURFORD CAP LTD,PUT,
G1889L 10 0,,CAPITALWORKS EMNG MKTS ACQST,CLASS A ORD SHS,
G1889L 11 8,,CAPITALWORKS EMNG MKTS ACQST,UNIT 01/01/2026,
G1889L 12 6,,CAPITALWORKS EMNG MKTS ACQST,*W EXP 11/19/202,
G1890L 10 7,*,CAPRI HOLDINGS LIMITED,SHS,
G1890L 90 7,,CAPRI HOLDINGS LIMITED,CALL,
G1890L 95 7,,CAPRI HOLDINGS LIMITED,PUT,
G1893D 10 2,,CARBON REVOLUTION LTD,ORD SHS,ADDED
G1893D 11 0,,CARBON REVOLUTION LTD,*W EXP 99/99/999,ADDED
G18932 10 6,,CAPTIVISION INC,USD ORD SHS,ADDED
G18932 11 4,,CAPTIVISION INC,*W EXP 11/15/202,ADDED
G1901X 10 8,,CARAVELLE INTERNATIONAL GROU,ORD SHS,
G19276 10 7,,ALVARIUM TIEDEMANN HLDNGS IN,CLASS A COMMON,
G19305 10 4,,CARTESIAN GROWTH CORP II,UNIT 07/12/2028,
G19305 11 2,,CARTESIAN GROWTH CORP II,CLASS A ORD,
G19305 12 0,,CARTESIAN GROWTH CORP II,*W EXP 07/12/202,
G1933S 10 1,*,CASI PHARMACEUTICALS INC,ORD SHS,
G1933S 90 1,,CASI PHARMACEUTICALS INC,CALL,
G1933S 95 1,,CASI PHARMACEUTICALS INC,PUT,
G1992N 10 0,,CC NEUBERGER PRINCIPAL HOLDN,SHS CL A,DELETED
G1992N 11 8,,CC NEUBERGER PRINCIPAL HOLDN,UNIT 99/99/9999,DELETED
G1992N 12 6,,CC NEUBERGER PRINCIPAL HOLDN,*W EXP 02/05/202,DELETED
G1995D 10 9,,CARTICA ACQUISITION CORP,CLASS A ORD SHS,
G1995D 11 7,,CARTICA ACQUISITION CORP,*W EXP 04/30/202,
G1995D 12 5,,CARTICA ACQUISITION CORP,UNIT 04/30/2028,
G2R05B 10 0,,DP CAP ACQUISITION CORP I,CLASS A ORD,
G2R05B 11 8,,DP CAP ACQUISITION CORP I,UNIT 11/08/2026,
G2R05B 12 6,,DP CAP ACQUISITION CORP I,*W EXP 11/08/202,
G2R18K 10 5,,CONSTELLATION ACQUISITN CORP,SHS CL A,
G2R18K 11 3,,CONSTELLATION ACQUISITN CORP,*W EXP 01/29/202,
G2R18K 12 1,,CONSTELLATION ACQUISITN CORP,UNIT 99/99/9999,
G2007L 12 1,*,CAZOO GROUP LTD,CL A,ADDED
G2007L 90 1,,CAZOO GROUP LTD,CALL,ADDED
G2007L 95 1,,CAZOO GROUP LTD,PUT,ADDED
G2007L 20 4,*,CAZOO GROUP LTD,CL A,DELETED
G2007L 90 4,,CAZOO GROUP LTD,CALL,DELETED
G2007L 95 4,,CAZOO GROUP LTD,PUT,DELETED
G2058L 10 3,,CHAVANT CAPITAL ACQUISITN CO,ORDINARY SHARES,DELETED
G2058L 11 1,,CHAVANT CAPITAL ACQUISITN CO,*W EXP 99/99/999,DELETED
G2058L 12 9,,CHAVANT CAPITAL ACQUISITN CO,UNIT 07/16/2026,DELETED
G2161P 13 2,,CHINA SXT PHARMACEUTICALS IN,SHS NEW,DELETED
G2161P 14 0,,CHINA SXT PHARMACEUTICALS IN,SHS NEW,ADDED
G2161Y 10 9,,CHINA LIBERAL ED HLDGS LTD,ORD,
G21621 11 8,,BIT ORIGIN LTD,SHS NEW,
G2181K 10 5,,CN ENERGY GROUP INC,CLASS A ORD,
G21810 10 9,*,CLARIVATE PLC,ORD SHS,
G21810 90 9,,CLARIVATE PLC,CALL,
G21810 95 9,,CLARIVATE PLC,PUT,
G21810 20 8,,CLARIVATE PLC,5.25% PFD CONV A,
G2263T 10 7,,COLISEUM ACQUISITION CORP,*W EXP 08/22/202,
G2263T 11 5,,COLISEUM ACQUISITION CORP,UNIT 04/02/2028,
G2263T 12 3,,COLISEUM ACQUISITION CORP,CLASS A ORD SHS,
G2283U 12 6,,COLOMBIER ACQUISITION CORP I,UNIT 99/99/9999,ADDED
G2287A 20 9,,COLOR STAR TECHNOLOGY CO LTD,USD CL A ORD SHS,
G2311X 10 0,,CLIMATEROCK,CLASS A ORD,
G2311X 11 8,,CLIMATEROCK,*W EXP 04/25/202,
G2311X 12 6,,CLIMATEROCK,UNIT 04/25/2027,
G2311X 13 4,,CLIMATEROCK,RIGHT 10/31/2028,
G2365L 10 1,,CSLM ACQUISITION CORP,CLASS A ORD SHS,
G2365L 11 9,,CSLM ACQUISITION CORP,*W EXP 06/01/202,
G2365L 12 7,,CSLM ACQUISITION CORP,RIGHT 07/01/2023,
G2365L 13 5,,CSLM ACQUISITION CORP,UNIT 01/12/2027,
G23773 10 7,*,CONSOLIDATED WATER CO INC,ORD,
G23773 90 7,,CONSOLIDATED WATER CO INC,CALL,
G23773 95 7,,CONSOLIDATED WATER CO INC,PUT,
G2415A 11 3,,COOL CO LTD,COMMON SHARES,
G2425N 10 5,,CORNER GROWTH ACQUISITION CO,CL A SHS,
G2425N 11 3,,CORNER GROWTH ACQUISITION CO,*W EXP 99/99/999,
G2425N 12 1,,CORNER GROWTH ACQUISITION CO,UNIT 01/01/2027,
G2426E 10 4,,CORNER GROWTH ACQUISITN CORP,CLASS A ORD SHS,
G2426E 11 2,,CORNER GROWTH ACQUISITN CORP,UNIT 05/27/2026,
G2426E 12 0,,CORNER GROWTH ACQUISITN CORP,*W EXP 04/09/202,
G2476C 10 7,,COMPASS DIGITAL ACQUISITN CO,CLASS A ORD,
G2476C 11 5,,COMPASS DIGITAL ACQUISITN CO,UNIT 09/29/2026,
G2476C 12 3,,COMPASS DIGITAL ACQUISITN CO,*W EXP 09/29/202,
G2519Y 10 8,*,CREDICORP LTD,COM,
G2519Y 90 8,,CREDICORP LTD,CALL,
G2519Y 95 8,,CREDICORP LTD,PUT,
G25457 10 5,*,CREDO TECHNOLOGY GROUP HOLDI,ORDINARY SHARES,
G25457 90 5,,CREDO TECHNOLOGY GROUP HOLDI,CALL,
G25457 95 5,,CREDO TECHNOLOGY GROUP HOLDI,PUT,
G25508 10 5,*,CRH PLC,ORD,
G25508 90 5,,CRH PLC,CALL,
G25508 95 5,,CRH PLC,PUT,
G25741 10 2,,CROWN PROPTECH ACQUISITIONS,SHS CL A,
G25741 12 8,,CROWN PROPTECH ACQUISITIONS,UNIT 99/99/9999,
G25839 10 4,*,COCA-COLA EUROPACIFIC PARTNE,SHS,
G25839 90 4,,COCA-COLA EUROPACIFIC PARTNE,CALL,
G25839 95 4,,COCA-COLA EUROPACIFIC PARTNE,PUT,
G26735 10 3,,ANDRETTI ACQUISITION CORP,CL A ORD SHS,
G26735 11 1,,ANDRETTI ACQUISITION CORP,UNIT 99/99/9999,
G26735 12 9,,ANDRETTI ACQUISITION CORP,*W EXP 99/99/999,
G2677P 10 5,,DAVIS COMMODITIES LTD,USD ORD SHS,
G2717B 10 8,*,CUSHMAN WAKEFIELD PLC,SHS,
G2717B 90 8,,CUSHMAN WAKEFIELD PLC,CALL,
G2717B 95 8,,CUSHMAN WAKEFIELD PLC,PUT,
G27358 10 3,*,DESPEGAR COM CORP,ORD SHS,
G27358 90 3,,DESPEGAR COM CORP,CALL,
G27358 95 3,,DESPEGAR COM CORP,PUT,
G2758T 10 9,,DHC ACQUISITION CORP,CLASS A ORD SHS,
G2758T 11 7,,DHC ACQUISITION CORP,*W EXP 02/25/202,
G2770Y 10 2,,DISRUPTIVE ACQUISITION CORP,CLASS A ORD SHS,DELETED
G2770Y 11 0,,DISRUPTIVE ACQUISITION CORP,UNIT 03/06/2026,DELETED
G2770Y 12 8,,DISRUPTIVE ACQUISITION CORP,*W EXP 03/06/202,DELETED
G27740 10 2,,DISTOKEN ACQUISITION CORP,*W EXP 11/30/202,
G27740 11 0,,DISTOKEN ACQUISITION CORP,ORDINARY SHARES,
G27740 13 6,,DISTOKEN ACQUISITION CORP,RIGHT 99/99/9999,
G2788T 10 3,*,DOGNESS INTERNATIONAL CORP,COM CL A,DELETED
G2788T 90 3,,DOGNESS INTERNATIONAL CORP,CALL,DELETED
G2788T 95 3,,DOGNESS INTERNATIONAL CORP,PUT,DELETED
G2788T 11 1,*,DOGNESS INTERNATIONAL CORP,SHS NEW USD CL A,ADDED
G2788T 90 1,,DOGNESS INTERNATIONAL CORP,CALL,ADDED
G2788T 95 1,,DOGNESS INTERNATIONAL CORP,PUT,ADDED
G27907 10 7,*,DOLE PLC,ORD SHS,
G27907 90 7,,DOLE PLC,CALL,
G27907 95 7,,DOLE PLC,PUT,
G28365 10 7,,METALPHA TECHN HOLDING LTD,SHS,
G2891G 20 4,,DIVERSIFIED ENERGY COMPANY P,SHS NEW,ADDED
G29018 10 1,*,DLOCAL LTD,CLASS A COM,
G29018 90 1,,DLOCAL LTD,CALL,
G29018 95 1,,DLOCAL LTD,PUT,
G29183 10 3,*,EATON CORP PLC,SHS,
G29183 90 3,,EATON CORP PLC,CALL,
G29183 95 3,,EATON CORP PLC,PUT,
G29201 10 3,,ECARX HOLDINGS INC,CLASS A ORD,
G29201 11 1,,ECARX HOLDINGS INC,*W EXP 12/20/202,
G2952X 12 0,,E-HOME HOUSEHOLD SVC HLDGS L,SHS NEW,
G3R239 10 1,*,GAMBLING COM GROUP LIMITED,ORDINARY SHARES,
G3R239 90 1,,GAMBLING COM GROUP LIMITED,CALL,
G3R239 95 1,,GAMBLING COM GROUP LIMITED,PUT,
G3R25D 10 0,,FUSION FUEL GREEN PLC,*W EXP 12/10/202,
G3R25D 11 8,*,FUSION FUEL GREEN PLC,CL A,
G3R25D 90 8,,FUSION FUEL GREEN PLC,CALL,
G3R25D 95 8,,FUSION FUEL GREEN PLC,PUT,
G3R33A 20 5,*,EBANG INTL HLDGS INC,CL A ORD SH NEW,
G3R33A 90 5,,EBANG INTL HLDGS INC,CALL,
G3R33A 95 5,,EBANG INTL HLDGS INC,PUT,
G3R34K 10 3,,FINNOVATE ACQUISITION CORP,CLASS A ORD SHS,
G3R34K 11 1,,FINNOVATE ACQUISITION CORP,*W EXP 09/30/202,
G3R34K 12 9,,FINNOVATE ACQUISITION CORP,UNIT 09/23/2026,
G3R39B 10 8,,GLOBAVEND HOLDINGS LIMITED,SHS,ADDED
G3R95N 10 3,,ESGEN ACQUISITION CORP,SHS CL A,
G3R95N 11 1,,ESGEN ACQUISITION CORP,*W EXP 10/18/202,
G3R95N 12 9,,ESGEN ACQUISITION CORP,UNIT 10/18/2026,
G3R95P 10 8,,ESGL HLDGS LTD,SHS,
G3R95P 11 6,,ESGL HLDGS LTD,*W EXP 10/19/202,
G3034H 10 9,,EMBRACE CHANGE ACQUISITN COR,ORDINARY SHARES,
G3034H 12 5,,EMBRACE CHANGE ACQUISITN COR,*W EXP 10/25/202,
G3034H 13 3,,EMBRACE CHANGE ACQUISITN COR,UNIT 03/17/2027,
G3034H 14 1,,EMBRACE CHANGE ACQUISITN COR,RIGHT 10/25/2026,
G30449 10 5,,ENERGEM CORP,CLASS A ORD SHS,
G30449 11 3,,ENERGEM CORP,UNIT 11/15/2026,
G30449 12 1,,ENERGEM CORP,*W EXP 11/15/202,
G3075P 10 1,*,ENSTAR GROUP LIMITED,SHS,
G3075P 90 1,,ENSTAR GROUP LIMITED,CALL,
G3075P 95 1,,ENSTAR GROUP LIMITED,PUT,
G3104J 10 0,,EPICQUEST EDUCATN GRP INTL L,COM,
G3109F 10 3,,ERAYAK PWR SOLUTION GROUP IN,CLASS A ORD SHS,
G31249 10 8,*,ESTABLISHMENT LABS HLDGS INC,COM,
G31249 90 8,,ESTABLISHMENT LABS HLDGS INC,CALL,
G31249 95 8,,ESTABLISHMENT LABS HLDGS INC,PUT,
G31363 10 7,,ETAO INTERNATIONAL CO LTD,ORD SHS,
G3142E 10 5,,EUDA HEALTH HOLDINGS LTD,ORD SHS,
G3142E 12 1,,EUDA HEALTH HOLDINGS LTD,*W EXP 09/24/202,
G3156P 10 3,*,ASA GOLD AND PRECIOUS MTLS L,SHS,
G3156P 90 3,,ASA GOLD AND PRECIOUS MTLS L,CALL,
G3156P 95 3,,ASA GOLD AND PRECIOUS MTLS L,PUT,
G31642 10 4,*,CLPS INCORPORATION,COM,
G3198U 10 2,*,ESSENT GROUP LTD,COM,
G3198U 90 2,,ESSENT GROUP LTD,CALL,
G3198U 95 2,,ESSENT GROUP LTD,PUT,
G32030 12 7,,EURO TECH HOLDINGS CO LTD,SHS NEW,
G3218G 10 9,,EVE MOBILITY ACQUISITION COR,CL A ORD SHS,
G3218G 11 7,,EVE MOBILITY ACQUISITION COR,*W EXP 12/31/202,
G3218G 12 5,,EVE MOBILITY ACQUISITION COR,UNIT 99/99/9999,
G3223R 10 8,*,EVEREST GROUP LTD,COM,
G3223R 90 8,,EVEREST GROUP LTD,CALL,
G3223R 95 8,,EVEREST GROUP LTD,PUT,
G3302D 10 3,,FGI INDUSTRIES LTD,ORDINARY SHARES,
G3302D 11 1,,FGI INDUSTRIES LTD,*W EXP 01/21/202,
G33032 10 6,*,ARES ACQUISITION CORPORATION,COM CL A,DELETED
G33032 90 6,,ARES ACQUISITION CORPORATION,CALL,DELETED
G33032 95 6,,ARES ACQUISITION CORPORATION,PUT,DELETED
G33032 11 4,,ARES ACQUISITION CORPORATION,UNIT 99/99/9999,DELETED
G33032 12 2,,ARES ACQUISITION CORPORATION,*W EXP 02/02/202,DELETED
G33033 10 4,,ARES ACQUISITION CORP II,SHS CLASS A,
G33033 11 2,,ARES ACQUISITION CORP II,UNIT 99/99/9999,
G33033 12 0,,ARES ACQUISITION CORP II,*W EXP 99/99/999,
G3312W 10 9,,EVERGREEN CORPORATION,CLASS A ORD SHS,
G3312W 11 7,,EVERGREEN CORPORATION,*W EXP 02/08/202,
G3312W 12 5,,EVERGREEN CORPORATION,UNIT 02/08/2027,
G3323L 10 0,*,FABRINET,SHS,
G3323L 90 0,,FABRINET,CALL,
G3323L 95 0,,FABRINET,PUT,
G3398L 11 8,,FIDELIS INSURANCE HOLDINGS L,COM,
G3400W 10 2,,FAT PROJECTS ACQUISITION COR,CLASS A ORD SHS,DELETED
G3400W 11 0,,FAT PROJECTS ACQUISITION COR,*W EXP 08/31/202,DELETED
G3400W 12 8,,FAT PROJECTS ACQUISITION COR,UNIT 10/12/2026,DELETED
G3413G 10 2,,FENBO HOLDINGS LTD,SHS,ADDED
G3421J 10 6,*,FERGUSON PLC NEW,SHS,
G3421J 90 6,,FERGUSON PLC NEW,CALL,
G3421J 95 6,,FERGUSON PLC NEW,PUT,
G35150 10 4,,FITELL CORP,SHS,
G35947 20 2,*,FLEX LNG LTD,SHS,
G35947 90 2,,FLEX LNG LTD,CALL,
G35947 95 2,,FLEX LNG LTD,PUT,
G3619H 10 2,,FORBION EUROPEAN ACQUSTN COR,CLASS A ORD SHS,DELETED
G3619H 11 0,,FORBION EUROPEAN ACQUSTN COR,*W EXP 12/10/202,DELETED
