cusip,ticker,company
00032Q104,AADI,"Aadi Bioscience, Inc."
00032Q 90 4,,
00032Q 95 4,,
000360206,AAON,"AAON, Inc."
000360 90 6,,
000360 95 6,,
000361105,AIR,AAR Corp.
000361 90 5,,
000361 95 5,,
000380204,ABCM,Abcam plc
000380 90 4,,
000380 95 4,,
00039J 10 3,,
00039J 20 2,,
00039J 30 1,,
00039J 40 0,,
00039J 50 9,,
00039J 60 8,,
00039J 70 7,,
00039J 80 6,,
00039J 85 5,,
00039J 86 3,,
00039J 87 1,,
00039J 88 9,,
00081T108,ACCO,ACCO Brands Corporation
