cusip,ticker,company
001055 90 2,,
001055 95 2,,
001084102,AGCO,AGCO Corporation
001084 90 2,,
001084 95 2,,
00108J109,ACMR,"ACM Research, Inc."
00108J 90 9,,
00108J 95 9,,
00109K105,AFCG,"AFC Gamma, Inc."
00109K 90 5,,
00109K 95 5,,
00110G408,BTAL,AGFiQ U.S. Market Neutral Anti-Beta Fund
00110G 60 6,,
00110G 90 8,,
00110G 95 8,,
001228501,MITT,"AG Mortgage Investment Trust, Inc."
001228 90 1,,
001228 95 1,,
00123Q104,AGNC,AGNC Investment Corp.
00123Q 90 4,,
00123Q 95 4,,
00130H105,AES,The AES Corporation
00130H204,AESC,The AES Corporation
00130H 90 5,,
00130H 95 5,,
