cusip,ticker,company
00032Q104,AADI,"Aadi Bioscience, Inc."
00032Q 90 4,,
00032Q 95 4,,
000360206,AAON,"AAON, Inc."
000360 90 6,,
000360 95 6,,
000361105,AIR,AAR Corp.
000361 90 5,,
000361 95 5,,
000380204,ABCM,Abcam plc
